Todas as mensagens de registro de eventos.
Data:	2013-05-23 11:40:40
Nome do sistema:	System1
Nome do controlador:	192.168.133.1
ID do controlador
	24-53319

RobotWare:	5.14.1032
Chave:	.csNpds3aus-s6MyUXs-s9
Opções:	
	RW Control module key
	RobotWare OS and English
	644-6 Portuguese
		645-3 Spanish
		709-x DeviceNet
			709-1 Master/Slave Single
			608-1 World Zones
			609-1 Fixed Position Events
			611-1 Path Recovery
			613-1 Collision Detection
			617-1 FlexPendant Interface
			620-1 File and Serial Channel Handling
			621-1 Logical Cross Connections
			622-1 Analog Signal Interrupt

DriveModule1
Chave:	LlVbY.0SGVirW
Opções:	
	RW Drive module 1 key
	ABB standard manipulator
		IRB 4400 Type B
			4400/45 Type B
			Add axes IRB/drive module 4400/940
				R2C2 Standard
					No drive in pos Y2



Comum mensagens de registro
SeqNo     	Tipo	Categoria           	Código  	Título                                  	Data                	Descrição	Argumentos
331462    	W   	Movimento           	50024   	Falha na trajetória com ângulo          	2013-05-22 11:57:47 	Tarefa: T_ROB1Trajetória com ângulo executada como ponto de parada por algum dos motivos a seguir:- Retardo de tempo.- Pontos com programação muito próxima.- Sistema exige alta carga de CPU.Ref. do Programa /Injetora/rResfriamento/MoveJ/429	{args: "T_ROB1", "/Injetora/rResfriamento/MoveJ/429"}
331463    	W   	Movimento           	50024   	Falha na trajetória com ângulo          	2013-05-22 11:57:52 	Tarefa: T_ROB1Trajetória com ângulo executada como ponto de parada por algum dos motivos a seguir:- Retardo de tempo.- Pontos com programação muito próxima.- Sistema exige alta carga de CPU.Ref. do Programa /Injetora/rResfriamento/MoveJ/431	{args: "T_ROB1", "/Injetora/rResfriamento/MoveJ/431"}
331464    	W   	Movimento           	50024   	Falha na trajetória com ângulo          	2013-05-22 11:57:54 	Tarefa: T_ROB1Trajetória com ângulo executada como ponto de parada por algum dos motivos a seguir:- Retardo de tempo.- Pontos com programação muito próxima.- Sistema exige alta carga de CPU.Ref. do Programa /Injetora/rResfriamento/MoveL/433	{args: "T_ROB1", "/Injetora/rResfriamento/MoveL/433"}
331465    	W   	Movimento           	50024   	Falha na trajetória com ângulo          	2013-05-22 11:58:01 	Tarefa: T_ROB1Trajetória com ângulo executada como ponto de parada por algum dos motivos a seguir:- Retardo de tempo.- Pontos com programação muito próxima.- Sistema exige alta carga de CPU.Ref. do Programa /Injetora/rHomeCargaSaida/MoveJ/587	{args: "T_ROB1", "/Injetora/rHomeCargaSaida/MoveJ/587"}
331466    	W   	Movimento           	50024   	Falha na trajetória com ângulo          	2013-05-22 11:58:09 	Tarefa: T_ROB1Trajetória com ângulo executada como ponto de parada por algum dos motivos a seguir:- Retardo de tempo.- Pontos com programação muito próxima.- Sistema exige alta carga de CPU.Ref. do Programa /Injetora/rPecaBoa/MoveJ/607	{args: "T_ROB1", "/Injetora/rPecaBoa/MoveJ/607"}
331467    	W   	Movimento           	50024   	Falha na trajetória com ângulo          	2013-05-22 11:58:54 	Tarefa: T_ROB1Trajetória com ângulo executada como ponto de parada por algum dos motivos a seguir:- Retardo de tempo.- Pontos com programação muito próxima.- Sistema exige alta carga de CPU.Ref. do Programa /Injetora/rResfriamento/MoveL/426	{args: "T_ROB1", "/Injetora/rResfriamento/MoveL/426"}
331468    	W   	Movimento           	50024   	Falha na trajetória com ângulo          	2013-05-22 11:59:02 	Tarefa: T_ROB1Trajetória com ângulo executada como ponto de parada por algum dos motivos a seguir:- Retardo de tempo.- Pontos com programação muito próxima.- Sistema exige alta carga de CPU.Ref. do Programa /Injetora/rResfriamento/MoveJ/429	{args: "T_ROB1", "/Injetora/rResfriamento/MoveJ/429"}
331469    	W   	Movimento           	50024   	Falha na trajetória com ângulo          	2013-05-22 11:59:07 	Tarefa: T_ROB1Trajetória com ângulo executada como ponto de parada por algum dos motivos a seguir:- Retardo de tempo.- Pontos com programação muito próxima.- Sistema exige alta carga de CPU.Ref. do Programa /Injetora/rResfriamento/MoveJ/431	{args: "T_ROB1", "/Injetora/rResfriamento/MoveJ/431"}
331470    	W   	Movimento           	50024   	Falha na trajetória com ângulo          	2013-05-22 11:59:09 	Tarefa: T_ROB1Trajetória com ângulo executada como ponto de parada por algum dos motivos a seguir:- Retardo de tempo.- Pontos com programação muito próxima.- Sistema exige alta carga de CPU.Ref. do Programa /Injetora/rResfriamento/MoveL/433	{args: "T_ROB1", "/Injetora/rResfriamento/MoveL/433"}
331471    	W   	Movimento           	50024   	Falha na trajetória com ângulo          	2013-05-22 11:59:16 	Tarefa: T_ROB1Trajetória com ângulo executada como ponto de parada por algum dos motivos a seguir:- Retardo de tempo.- Pontos com programação muito próxima.- Sistema exige alta carga de CPU.Ref. do Programa /Injetora/rHomeCargaSaida/MoveJ/587	{args: "T_ROB1", "/Injetora/rHomeCargaSaida/MoveJ/587"}
